Entry Range,Integer,Real,Gaussian Integer,Complex
1,0.50126,0.64751,0.43589,0.47291
2,0.57487,0.61664,0.41057,0.43752
3,0.58584,0.60846,0.40596,0.42646
4,0.58865,0.60456,0.40933,0.42015
5,0.59403,0.60307,0.40937,0.413
