Entry Range,Integer,Real,Gaussian Integer,Complex
1,0.98058,0.98525,0.98308,0.98948
2,0.98052,0.98454,0.98421,0.98755
3,0.9806,0.98321,0.98351,0.98656
4,0.98099,0.98213,0.98342,0.98558
5,0.98062,0.98226,0.98368,0.98571
