Entry Range,Integer,Real,Gaussian Integer,Complex
1,0.94026,0.95091,0.92009,0.94383
2,0.93519,0.94411,0.92315,0.93567
3,0.93701,0.94128,0.92344,0.93109
4,0.93641,0.94038,0.92315,0.92883
5,0.93511,0.93781,0.92289,0.92751
