Entry Range,Integer,Real,Gaussian Integer,Complex
1,0.50215,0.64599,0.4353,0.47138
2,0.57439,0.61889,0.4108,0.43776
3,0.58619,0.61042,0.41159,0.42434
4,0.58984,0.60545,0.40805,0.41688
5,0.59073,0.60396,0.40743,0.41375
