Entry Range,Integer,Real,Gaussian Integer,Complex
1,0.50216,0.64641,0.4343,0.47253
2,0.57337,0.61604,0.40881,0.4389
3,0.58534,0.6113,0.41028,0.42149
4,0.591,0.60737,0.40795,0.41575
5,0.58982,0.60404,0.41094,0.41365
